1	ну	ну	PART	_	_	_	_	_	@es1987f-words#@es1987f#4.04#4.298
2	что	что	PART	_	_	_	_	_	@es1987f-words#@es1987f#4.298#4.556
3	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#4.556#4.814
4	давайте	давать	VERB	_	Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@es1987f-words#@es1987f#4.814#5.072
5	теперь	теперь	ADV	_	Degree=Pos	_	_	_	@es1987f-words#@es1987f#5.072#5.33
6	и	и	PART	_	_	_	_	_	@es1987f-words#@es1987f#5.33#5.588
7	официально	официально	ADV	_	Degree=Pos	_	_	_	@es1987f-words#@es1987f#5.588#5.846
8	поздороваемся	здороваться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@es1987f-words#@es1987f#5.846#6.11
9	ребят	ребята	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@es1987f-words#@es1987f#6.12#6.555
10	привет	привет	INTJ	_	_	_	_	_	@es1987f-words#@es1987f#6.555#6.99
11	#смеется#	#смеется#	X	_	_	_	_	_	@es1987f-words#@es1987f#8.198#9.567
12	ну	ну	PART	_	_	_	_	_	@es1987f-words#@es1987f#9.77#9.988
13	что	что	PRON	_	Case=Acc	_	_	_	@es1987f-words#@es1987f#9.988#10.206
14	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#10.206#10.424
15	как	как	SCONJ	_	_	_	_	_	@es1987f-words#@es1987f#10.424#10.642
16	вам	вы	PRON	_	Case=Dat|Number=Plur|Person=2	_	_	_	@es1987f-words#@es1987f#10.642#10.864
17	теплая	теплый	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@es1987f-words#@es1987f#11.009#11.464
18	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#11.464#11.919
19	южная	южный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@es1987f-words#@es1987f#11.919#12.374
20	столица	столица	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@es1987f-words#@es1987f#12.374#12.829
21	?	?	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#12.829#13.286
22	да	да	PART	_	_	_	_	_	@es1987f-words#@es1987f#22.07#22.58
23	а	а	PART	_	_	_	_	_	@es1987f-words#@es1987f#24.577#24.839
24	как	как	ADV	_	Degree=Pos	_	_	_	@es1987f-words#@es1987f#24.839#25.101
25	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@es1987f-words#@es1987f#25.101#25.363
26	думаете	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@es1987f-words#@es1987f#25.363#25.625
27	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#25.625#25.887
28	из	из	ADP	_	_	_	_	_	@es1987f-words#@es1987f#25.887#26.149
29	поколения	поколение	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@es1987f-words#@es1987f#26.149#26.411
30	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#26.411#26.673
31	в	в	ADP	_	_	_	_	_	@es1987f-words#@es1987f#26.673#26.935
32	поколение	поколение	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@es1987f-words#@es1987f#26.935#27.197
33	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#27.197#27.459
34	как-то	как-то	ADV	_	Degree=Pos	_	_	_	@es1987f-words#@es1987f#27.459#27.721
35	меняется	меняться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@es1987f-words#@es1987f#27.721#27.983
36	юмор	юмор	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@es1987f-words#@es1987f#27.983#28.245
37	?	?	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#28.245#28.509
38	и	и	PART	_	_	_	_	_	@es1987f-words#@es1987f#42.98#43.164
39	сейчас	сейчас	ADV	_	Degree=Pos	_	_	_	@es1987f-words#@es1987f#43.164#43.348
40	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#43.348#43.532
41	да	да	PART	_	_	_	_	_	@es1987f-words#@es1987f#43.532#43.716
42	?	?	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#43.716#43.904
43	просто	просто	PART	_	_	_	_	_	@es1987f-words#@es1987f#43.98#44.258
44	из	из	ADP	_	_	_	_	_	@es1987f-words#@es1987f#87.194#87.5
45	детства	детство	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@es1987f-words#@es1987f#87.5#87.806
46	вот	вот	PART	_	_	_	_	_	@es1987f-words#@es1987f#88.011#88.276
47	самый	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@es1987f-words#@es1987f#88.276#88.541
48	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#88.541#88.806
49	яркий	яркий	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@es1987f-words#@es1987f#88.806#89.071
50	сатирик	сатирик	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@es1987f-words#@es1987f#89.071#89.336
51	для	для	ADP	_	_	_	_	_	@es1987f-words#@es1987f#89.336#89.601
52	вас	вы	PRON	_	Case=Gen|Number=Plur|Person=2	_	_	_	@es1987f-words#@es1987f#89.601#89.866
53	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#89.866#90.131
54	самый	самый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@es1987f-words#@es1987f#90.131#90.396
55	лучший	лучший	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@es1987f-words#@es1987f#90.396#90.661
56	?	?	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#90.661#90.926
57	ребят	ребята	NOUN	_	Animacy=Anim|Case=Nom|Gender=Neut|Number=Plur	_	_	_	@es1987f-words#@es1987f#134.906#135.132
58	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#135.132#135.358
59	для	для	ADP	_	_	_	_	_	@es1987f-words#@es1987f#135.358#135.584
60	вас	вы	PRON	_	Case=Gen|Number=Plur|Person=2	_	_	_	@es1987f-words#@es1987f#135.584#135.81
61	важно	важный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@es1987f-words#@es1987f#135.81#136.036
62	/	/	PUNCT	_	_	_	_	_	@es1987f-words#@es1987f#136.036#136.262
63	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@es1987f-words#@es1987f#136.262#136.488
